seed,train_k,step,checkpoint_type,floating_dtype,state_tensors,bytes,path
2,3,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train3_step1500_float16.pt
2,3,1500,router_only,float32,8,200931,checkpoints/router_seed2_train3_step1500_float32.pt
2,4,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train4_step1500_float16.pt
2,4,1500,router_only,float32,8,200931,checkpoints/router_seed2_train4_step1500_float32.pt
2,5,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train5_step1500_float16.pt
2,5,1500,router_only,float32,8,200931,checkpoints/router_seed2_train5_step1500_float32.pt
2,6,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train6_step1500_float16.pt
2,6,1500,router_only,float32,8,200931,checkpoints/router_seed2_train6_step1500_float32.pt
2,7,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train7_step1500_float16.pt
2,7,1500,router_only,float32,8,200931,checkpoints/router_seed2_train7_step1500_float32.pt
2,8,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train8_step1500_float16.pt
2,8,1500,router_only,float32,8,200931,checkpoints/router_seed2_train8_step1500_float32.pt
3,1,1500,router_only,float32,8,200931,checkpoints/router_seed3_train1_step1500_float32.pt
3,2,1500,router_only,float32,8,200931,checkpoints/router_seed3_train2_step1500_float32.pt
3,3,1500,router_only,float32,8,200931,checkpoints/router_seed3_train3_step1500_float32.pt
3,4,1500,router_only,float32,8,200931,checkpoints/router_seed3_train4_step1500_float32.pt
3,5,1500,router_only,float32,8,200931,checkpoints/router_seed3_train5_step1500_float32.pt
3,6,1500,router_only,float32,8,200931,checkpoints/router_seed3_train6_step1500_float32.pt
3,7,1500,router_only,float32,8,200931,checkpoints/router_seed3_train7_step1500_float32.pt
3,8,1500,router_only,float32,8,200931,checkpoints/router_seed3_train8_step1500_float32.pt
4,1,1500,router_only,float32,8,200931,checkpoints/router_seed4_train1_step1500_float32.pt
4,2,1500,router_only,float32,8,200931,checkpoints/router_seed4_train2_step1500_float32.pt
4,3,1500,router_only,float32,8,200931,checkpoints/router_seed4_train3_step1500_float32.pt
4,4,1500,router_only,float32,8,200931,checkpoints/router_seed4_train4_step1500_float32.pt
4,5,1500,router_only,float32,8,200931,checkpoints/router_seed4_train5_step1500_float32.pt
4,6,1500,router_only,float32,8,200931,checkpoints/router_seed4_train6_step1500_float32.pt
4,7,1500,router_only,float32,8,200931,checkpoints/router_seed4_train7_step1500_float32.pt
4,8,1500,router_only,float32,8,200931,checkpoints/router_seed4_train8_step1500_float32.pt
5,1,1500,router_only,float32,8,200931,checkpoints/router_seed5_train1_step1500_float32.pt
5,2,1500,router_only,float32,8,200931,checkpoints/router_seed5_train2_step1500_float32.pt
5,3,1500,router_only,float32,8,200931,checkpoints/router_seed5_train3_step1500_float32.pt
5,4,1500,router_only,float32,8,200931,checkpoints/router_seed5_train4_step1500_float32.pt
5,5,1500,router_only,float32,8,200931,checkpoints/router_seed5_train5_step1500_float32.pt
5,6,1500,router_only,float32,8,200931,checkpoints/router_seed5_train6_step1500_float32.pt
5,7,1500,router_only,float32,8,200931,checkpoints/router_seed5_train7_step1500_float32.pt
5,8,1500,router_only,float32,8,200931,checkpoints/router_seed5_train8_step1500_float32.pt
6,1,1500,router_only,float32,8,200931,checkpoints/router_seed6_train1_step1500_float32.pt
6,2,1500,router_only,float32,8,200931,checkpoints/router_seed6_train2_step1500_float32.pt
6,3,1500,router_only,float32,8,200931,checkpoints/router_seed6_train3_step1500_float32.pt
6,4,1500,router_only,float32,8,200931,checkpoints/router_seed6_train4_step1500_float32.pt
6,5,1500,router_only,float32,8,200931,checkpoints/router_seed6_train5_step1500_float32.pt
6,6,1500,router_only,float32,8,200931,checkpoints/router_seed6_train6_step1500_float32.pt
6,7,1500,router_only,float32,8,200931,checkpoints/router_seed6_train7_step1500_float32.pt
6,8,1500,router_only,float32,8,200931,checkpoints/router_seed6_train8_step1500_float32.pt
7,1,1500,router_only,float32,8,200931,checkpoints/router_seed7_train1_step1500_float32.pt
7,2,1500,router_only,float32,8,200931,checkpoints/router_seed7_train2_step1500_float32.pt
7,3,1500,router_only,float32,8,200931,checkpoints/router_seed7_train3_step1500_float32.pt
7,4,1500,router_only,float32,8,200931,checkpoints/router_seed7_train4_step1500_float32.pt
7,5,1500,router_only,float32,8,200931,checkpoints/router_seed7_train5_step1500_float32.pt
7,6,1500,router_only,float32,8,200931,checkpoints/router_seed7_train6_step1500_float32.pt
7,7,1500,router_only,float32,8,200931,checkpoints/router_seed7_train7_step1500_float32.pt
7,8,1500,router_only,float32,8,200931,checkpoints/router_seed7_train8_step1500_float32.pt
